,year,doy,hourmin,temperature,humidity,wind,pressure
380,2012,291,800,290.58,93.0,0.0,1012.0
381,2012,291,900,289.93,100.0,0.0,1012.0
382,2012,291,1000,289.81,93.0,0.0,1011.0
383,2012,291,1100,289.34,100.0,0.0,1011.0
384,2012,291,1200,288.75,93.0,0.0,1011.0
385,2012,291,1300,288.75,93.0,0.0,1011.0
386,2012,291,1400,288.65,88.0,0.0,1011.0
387,2012,291,1500,290.72,77.0,2.0,1011.0
388,2012,291,1600,293.15,88.0,2.0,1012.0
389,2012,291,1700,293.95,,0.0,
390,2012,291,1800,296.16,28.0,4.0,1011.0
391,2012,291,1900,297.39,,1.0,
392,2012,291,2000,300.29,27.0,4.0,1009.0
393,2012,291,2100,300.57,34.0,4.0,1008.0
394,2012,291,2200,301.32,25.0,5.0,1008.0
395,2012,291,2300,301.44,32.0,3.0,1007.0
396,2012,292,0,299.42,39.0,2.0,1007.0
397,2012,292,100,297.92,47.0,2.0,1007.0
398,2012,292,200,295.9,44.0,2.0,1008.0
399,2012,292,300,294.52,49.0,2.0,1008.0
400,2012,292,400,293.67,68.0,2.0,1008.0
401,2012,292,500,292.64,77.0,0.0,1008.0
402,2012,292,600,291.79,73.0,0.0,1008.0
403,2012,292,700,291.03,93.0,2.0,1008.0
404,2012,292,800,291.12,88.0,0.0,1008.0
405,2012,292,900,290.86,88.0,1.0,1008.0
406,2012,292,1000,290.69,82.0,0.0,1008.0
407,2012,292,1100,289.65,77.0,0.0,1007.0
408,2012,292,1200,290.01,72.0,0.0,1007.0
409,2012,292,1300,290.19,62.0,0.0,1008.0
410,2012,292,1400,290.73,63.0,0.0,1007.0
411,2012,292,1500,294.03,46.0,0.0,1008.0
412,2012,292,1600,296.46,43.0,2.0,1008.0
413,2012,292,1700,301.72,36.0,2.0,1008.0
414,2012,292,1800,303.79,27.0,3.0,1008.0
415,2012,292,1900,306.2,27.0,2.0,1008.0
416,2012,292,2000,305.66,22.0,4.0,1007.0
417,2012,292,2100,305.45,22.0,2.0,1006.0
418,2012,292,2200,305.04,23.0,3.0,1006.0
419,2012,292,2300,304.94,17.0,3.0,1007.0
420,2012,293,0,304.66,14.0,4.0,1007.0
421,2012,293,100,302.12,18.0,2.0,1007.0
422,2012,293,200,300.62,23.0,2.0,1008.0
423,2012,293,300,298.61,32.0,0.0,1008.0
424,2012,293,400,298.12,39.0,0.0,1009.0
425,2012,293,500,297.97,36.0,1.0,1009.0
