year,doy,hoursmin,fire_name,mtbs_fire_name,cause,size,class,latitude,longitude
2006,37,400.0,SIERRA,SIERRA,Miscellaneous,10584.0,G,33.85194444,-117.64972222
2006,37,1300.0,FISHERMAN,"",Miscellaneous,0.01,A,33.53222222,-117.39277778
2006,173,1700.0,SOUTH,"",Miscellaneous,0.25,A,33.64888889,-117.41194444
2006,183,1000.0,CARISO,"",Miscellaneous,0.01,A,33.65138889,-117.40861111
2006,183,1100.0,CAMP,"",Miscellaneous,0.01,A,33.65416667,-117.44888889
2006,232,1600.0,"SITE 28","",Campfire,0.01,A,33.6525,-117.455
2006,232,1700.0,RANCHO,"","Equipment Use",0.01,A,33.61361111,-117.36222222
2006,239,1100.0,"SITE 8","",Campfire,0.01,A,33.65416667,-117.41555556
2006,239,1900.0,LOOP,"",Miscellaneous,0.01,A,33.655,-117.4575
2006,249,1300.0,TRILOGY,"",Miscellaneous,0.01,A,33.76638889,-117.50944444
2006,203,1500.0,COPTER,"",Lightning,0.3,B,34.33,-117.78944444
2006,267,900.0,PICNIC,"",Campfire,0.1,A,34.22944444,-117.77888889
2006,260,1600.0,GOLDEN,"",Smoking,0.1,A,34.14944444,-117.77472222
2006,168,200.0,DARK,"",Miscellaneous,25.0,C,34.25305556,-118.19638889
2006,246,1600.0,BOX,"","Equipment Use",0.1,A,34.205,-117.34388889
2006,229,0.0,LAGARTO,"","Equipment Use",0.2,A,34.33194444,-117.51944444
2006,235,1100.0,SUNRISE,"","Equipment Use",0.1,A,34.31083333,-117.4675
2006,235,1300.0,NEILSON,"",Arson,7.0,B,34.425,-117.49583333
2006,240,1300.0,HESPERIA,"","Equipment Use",1.0,B,34.34277778,-117.42305556
2006,245,1300.0,"BALDY 2","","Equipment Use",1.0,B,34.33277778,-117.46305556
2006,246,1400.0,CIRCLE,"",Lightning,0.24,A,34.34666667,-117.57916667
2006,251,2000.0,LYTLE,"",Miscellaneous,4.0,B,34.27361111,-117.53055556
2006,256,1100.0,OAKEY,"","Equipment Use",4.0,B,34.26305556,-117.46888889
2006,282,300.0,GATE,"",Campfire,0.1,A,34.26194444,-117.85194444
2006,156,600.0,FREEWAY#2,"","Equipment Use",0.5,B,34.25027778,-117.43888889
2006,168,1900.0,"FREEWAY #3","",Miscellaneous,0.1,A,34.28138889,-117.47305556
2006,203,1400.0,WATERMAN,"","Equipment Use",0.1,A,34.21527778,-117.285
2006,204,1300.0,SIDEWAYS,"",Miscellaneous,1.0,B,34.18638889,-117.46111111
2006,250,1400.0,LIVEOAK,"","Equipment Use",0.01,A,33.66638889,-117.60111111
2006,255,1500.0,HORSETHIEF,"",Miscellaneous,1.0,B,33.72166667,-117.43527778
2006,270,1600.0,FALLS,"","Equipment Use",1.0,B,33.6075,-117.44277778
2006,205,1100.0,SLOVER,"",Lightning,1.0,B,34.3325,-117.5625
2006,192,1300.0,CLEARWATER,"","Equipment Use",0.5,B,34.20138889,-117.40888889
2006,195,1600.0,SIERRA,"","Equipment Use",10.0,C,34.17805556,-117.44138889
2006,197,1400.0,OAK,"","Equipment Use",10.0,C,34.34305556,-117.45111111
2006,175,1100.0,SHOOTER,"",Miscellaneous,4.0,B,34.28888889,-117.54388889
2006,179,1700.0,SNOWLINE,"",Lightning,3.0,B,34.40444444,-117.53777778
2006,238,2000.0,GOLD,"",Miscellaneous,2.65,B,34.71722222,-118.93055556
2006,210,1800.0,OFFRAMP,"",Miscellaneous,0.1,A,34.37777778,-118.49277778
2006,231,1000.0,TANK,"",Campfire,0.2,A,34.36027778,-118.39694444
2006,239,1400.0,COYOTE,"",Miscellaneous,0.25,A,34.70694444,-118.79444444
2006,248,1300.0,FRONTAGE,"",Miscellaneous,0.1,A,34.73416667,-118.79722222
2006,256,1400.0,KIA,"",Miscellaneous,0.1,A,34.49444444,-118.27916667
2006,264,1000.0,NEWHALL,"",Miscellaneous,9.0,B,34.36361111,-118.50555556
2006,264,1700.0,BOX,"",Miscellaneous,0.25,A,34.38083333,-118.45
2006,271,1000.0,MESA,"","Equipment Use",0.3,B,34.49166667,-117.9375
2006,229,1800.0,RANCH,"","Equipment Use",1.0,B,34.76611111,-118.71
2006,190,200.0,ALTA,"",Arson,2.0,B,34.20388889,-118.12944444
2006,274,1500.0,TICK,"","Equipment Use",0.1,A,34.45722222,-118.37944444
2006,275,1000.0,STARCRAFT,"","Equipment Use",0.1,A,34.43333333,-118.37944444
2006,281,1200.0,CROSSOVER,"","Equipment Use",0.5,B,34.55777778,-118.67472222
2006,282,1200.0,STAKESIDE,"",Miscellaneous,0.1,A,34.48333333,-118.28638889
2006,284,1600.0,RUNNING,"",Arson,50.0,C,34.67222222,-118.76666667
2006,167,1800.0,WASH,"",Miscellaneous,0.8,B,34.27277778,-118.35166667
2006,185,1800.0,BILTMORE,"",Children,0.1,A,34.28194444,-118.37444444
2006,239,2100.0,VALE,"",Campfire,0.1,A,34.28333333,-118.22777778
2006,213,200.0,S-TEN,"",Miscellaneous,0.1,A,34.31472222,-118.34138889
2006,162,2300.0,YBARRA,"","Debris Burning",0.1,A,34.30222222,-118.265
2006,246,1500.0,WATERMAN2,"",Miscellaneous,1.5,B,34.24388889,-117.28527778
2006,292,1100.0,THREE,"","Equipment Use",0.2,A,34.24138889,-118.31194444
2006,292,1400.0,GLADSTONE,"","Equipment Use",0.2,A,34.2975,-118.41472222
2006,178,1600.0,EXPLORER,"","Equipment Use",0.1,A,34.37972222,-118.09666667
2006,270,2100.0,0TTIE,"",Miscellaneous,0.1,A,34.28666667,-118.22222222
2006,267,1600.0,VANNUYS,"",Miscellaneous,0.1,A,34.28138889,-118.40138889
2006,237,2300.0,REDWOOD,"",Miscellaneous,0.16,A,34.24361111,-117.30194444
2006,262,1500.0,PINES,"",Campfire,100.0,D,34.27333333,-118.16444444
2006,296,1100.0,ASPHALT,"","Equipment Use",0.1,A,34.21888889,-118.19611111
2006,269,1200.0,MAROON,"",Miscellaneous,0.1,A,34.2775,-118.37833333
2006,273,1700.0,TRIO,"",Miscellaneous,0.25,A,34.26833333,-118.33583333
2006,293,1200.0,FOOTHILL,"","Equipment Use",0.1,A,34.3375,-118.50416667
2006,219,800.0,STONYVALE,"",Campfire,0.1,A,34.28444444,-118.22194444
2006,166,1800.0,OSBORNE,"",Miscellaneous,0.1,A,34.27305556,-118.36805556
2006,272,1300.0,FREEWAY,"",Miscellaneous,90.0,C,34.35055556,-118.50666667
2006,152,1000.0,TURNOUT,"",Campfire,0.1,A,34.35861111,-118.39833333
2006,302,1300.0,JEEP,"",Miscellaneous,0.1,A,34.27611111,-118.38
2006,247,1400.0,DAY,DAY,"Debris Burning",162702.0,G,34.63222222,-118.76972222
2006,204,1300.0,SCOTT,"",Lightning,600.0,E,34.84861111,-118.98472222
2006,295,1100.0,MORNING,"",Campfire,0.1,A,34.24833333,-117.86472222
2006,309,1400.0,DRAIN,"",Miscellaneous,0.1,A,34.20416667,-117.80694444
2006,284,1100.0,WAGON,"",Miscellaneous,0.1,A,34.28555556,-118.40722222
2006,294,1800.0,SUMMIT,"",Miscellaneous,0.25,A,34.12916667,-117.74972222
2006,259,1900.0,NISSAN,"",Miscellaneous,0.1,A,34.29444444,-118.35694444
2006,246,2000.0,INTERSECTION,"",Miscellaneous,0.1,A,34.33555556,-118.50972222
2006,208,1200.0,TUNA,"",Miscellaneous,0.1,A,34.23333333,-118.30305556
2006,184,1200.0,CHEVY,"",Miscellaneous,0.1,A,34.24083333,-118.30833333
2006,308,200.0,SUBARU,"",Miscellaneous,0.1,A,34.27,-118.15222222
2006,287,800.0,WATERMAN,"",Lightning,0.1,A,34.34944444,-117.92861111
2006,287,1300.0,BURKHART,"",Lightning,0.1,A,34.37166667,-117.8975
2006,302,800.0,ARROYO,"","Equipment Use",0.5,B,34.29305556,-118.41361111
2006,195,1600.0,CAB,"",Miscellaneous,0.1,A,34.32111111,-118.48805556
2006,261,2000.0,RV,"",Miscellaneous,0.1,A,34.24805556,-118.29
2006,310,1400.0,WINDY,"",Miscellaneous,1.0,B,34.33916667,-118.50388889
